Titel,Artiest,Genre,Bpm,Should start at ,Distinctive dance?,Downloaded,
Harlem Shake,DJ Bauer,Trap/HipHop,140,0,Yess,Y,
"5,6,7,8",Steps,Pop,140,0,Yes,Y,
Apache,Sugerhill Gang ,HipHop,115,0:10,yes,Y,
Cha Cha Slide,Mr. C The Slide Man,EDM,124,0:30,Yes,Y,
Crank that,Soulja boy,HipHop/Pop Rap,70,0:16,Yes,Y,
gangnam style,PSY,Kpop,132,0:54,Yes,Y,
in zaire,Johnny Wakelin,Rock,102,0,Yes,Y,
Single Ladies,Beyonce,Pop,130,0,Yes,yes,
The Ketchup song,Las Ketchup,Spaans/Pop,185,0:26,Yes,yes,
Thriller,Michael Jackson,Pop,117,0:32,Yes,yes,
watch me (Nae Nae),silento,HipHop,140,0:15,yes,yes,
Bubble Butt,Major Lazer,EDM,194,1:14,Kinda,Y,
Cheap Thrils,Sia,Pop,90,0:20,Kinda,Y,
Drank & Drugs,Lil Kleine & Ronnie Flex,Techhouse/Poprap,120,0:08,Kinda,Y,
Hot N*gga,Bobby Shmurda,Trap,84,0:10,Kinda,Y,
Hotline Bling,Drake,HipHop,,0:20,kinda,Y,
Jump Around,House of pain,HipHop,105,0,Kinda,yes,
Kung Fu fighting,carl douglas,Funk/Soul,102,0,kinda,yes,
Mr Roboto,Styx,EDM/Rock,195,0:40,kinda,yes,
Mundian To Bach Ke,Panjabi MC,Indian,98,0:24,kinda,yes,
Party Rock Anthem,LMFAO,EDM/House,130,0:44,kinda,yes,
Shake it off,Taylor Swift,Pop,160,0:29,Kinda,yes,
uptown funk ,Mark Ronson ft Bruno mars,pop,,0:14,kinda,yes,
One love,Bob Marley,Reggae,77,0,,Y,
Bangarang,Skrillex,Dubstep/Dance,110,0:14,,Y,
Earthquake,DJ Fresh vs Diplo,Trap,164,0,,Y,
freestyler,Bomfunk MC,,,0:53,,Y,
Higher Ground,TNGHT,Trap,161,0:24,,Y,"Is stom lied, zeg dat ik het gezegd heb"
I fink u freeky,die antwoord,,130,0:10,,Y,
Louder,DJ Fresh ft Sian Evans,DnB,140,0:21,,yes,
push it ,salt n pepper,,,1:52,,yes,
Talk Dirty,Jason Derulo,Pop,133,0:30,,yes,
Temperature,Sean Paul,Reggaeton,128,0,,yes,
Turn Down For What,"DJ Snake, Lil Jon",Trap,130,0,,yes,
work ,Rihanna ,,,0:14,,yes,
N*ggas in Paris,Jay-Z ft. Kayne West,HipHop,140,0,,yes,